no,kode_pos,kode_wilayah,prov_code,kab_code,kec_code,desa_code,full_code,is_kelurahan,is_desa,desa,kecamatan,dt2,kabupaten,provinsi,source_page
49903,77454,65.03.07.2009,65,03,07,2009,6503072009,0,1,Pa' Dalan (Pa Dalan),Krayan Selatan,Kabupaten,Nunukan,Kalimantan Utara,249
49904,77454,65.03.07.2003,65,03,07,2003,6503072003,0,1,Pa' Ibang (Pa Ibang),Krayan Selatan,Kabupaten,Nunukan,Kalimantan Utara,249
49905,77454,65.03.07.2005,65,03,07,2005,6503072005,0,1,Pa' Kaber (Pa Kaber),Krayan Selatan,Kabupaten,Nunukan,Kalimantan Utara,249
49906,77454,65.03.07.2007,65,03,07,2007,6503072007,0,1,Pa' Sing (Pa Sing),Krayan Selatan,Kabupaten,Nunukan,Kalimantan Utara,249
49907,77454,65.03.07.2006,65,03,07,2006,6503072006,0,1,Pa' Tera (Pa Tera),Krayan Selatan,Kabupaten,Nunukan,Kalimantan Utara,249
49908,77454,65.03.07.2011,65,03,07,2011,6503072011,0,1,Pa' Upan (Pa Upan),Krayan Selatan,Kabupaten,Nunukan,Kalimantan Utara,249
49909,77454,65.03.07.2020,65,03,07,2020,6503072020,0,1,Pa' Urang (Pa Urang),Krayan Selatan,Kabupaten,Nunukan,Kalimantan Utara,249
49921,77455,65.03.19.2025,65,03,19,2025,6503192025,0,1,Ma' Libu (Ma Libu),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49922,77455,65.03.19.2009,65,03,19,2009,6503192009,0,1,Pa' Butal (Pa Butal),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49923,77455,65.03.19.2010,65,03,19,2010,6503192010,0,1,Pa' Delung (Pa Delung),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49924,77455,65.03.19.2006,65,03,19,2006,6503192006,0,1,Pa' Inan (Pa Inan),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49925,77455,65.03.19.2012,65,03,19,2012,6503192012,0,1,Pa' Kemut (Pa Kemut),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49926,77455,65.03.19.2013,65,03,19,2013,6503192013,0,1,Pa' Kidang (Pa Kidang),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
49927,77455,65.03.19.2024,65,03,19,2024,6503192024,0,1,Pa' Lutut (Pa Lutut),Krayan Barat,Kabupaten,Nunukan,Kalimantan Utara,249
